"","Species","Site","detection","num.samples","Sppcode","Diet","sitecov1"
"256","Corvus macrorhynchos","CHC2",1,10,36,0,0
"257","Corvus macrorhynchos","CHC3",0,10,36,0,1
"258","Corvus macrorhynchos","CHC4",0,10,36,0,1
"259","Corvus macrorhynchos","CHC5",0,10,36,0,0
"260","Corvus macrorhynchos","CHC7",0,10,36,0,0
"261","Corvus macrorhynchos","CHS1",1,10,36,0,1
"262","Corvus macrorhynchos","CHS2",4,10,36,0,0
"263","Corvus macrorhynchos","CHS4",0,10,36,0,1
"264","Corvus macrorhynchos","CHS6",6,10,36,0,0
"265","Corvus macrorhynchos","MDC1",0,10,36,0,1
"266","Corvus macrorhynchos","MDS2",6,10,36,0,1
"267","Corvus macrorhynchos","MDS3",0,10,36,0,0
"268","Corvus macrorhynchos","MDS4",1,10,36,0,0
"269","Corvus macrorhynchos","TTC1",1,10,36,0,1
"270","Corvus macrorhynchos","TTC2",0,10,36,0,0
"271","Corvus macrorhynchos","TTS1",3,10,36,0,1
"272","Corvus macrorhynchos","TTS2",1,10,36,0,0
"273","Coturnix coromandelica","ADS1",9,10,39,0,1
"274","Coturnix coromandelica","ADS3",8,10,39,0,0
"275","Coturnix coromandelica","BD1",0,10,39,0,1
"276","Coturnix coromandelica","BD2",0,10,39,0,0
"277","Coturnix coromandelica","BD6",7,10,39,0,0
"278","Coturnix coromandelica","BDC1",0,10,39,0,1
"279","Coturnix coromandelica","BDC2",6,10,39,0,0
"280","Coturnix coromandelica","BDC3",10,10,39,0,0
"281","Coturnix coromandelica","BDC4",10,10,39,0,0
"282","Coturnix coromandelica","BDC6",9,10,39,0,0
"283","Coturnix coromandelica","BDC8",8,10,39,0,1
"284","Coturnix coromandelica","BN1",0,10,39,0,1
"285","Coturnix coromandelica","BN2",0,10,39,0,0
"286","Coturnix coromandelica","BNC1",0,10,39,0,1
"287","Coturnix coromandelica","BNC2",2,10,39,0,0
"288","Coturnix coromandelica","BNC3",0,10,39,0,1
"289","Coturnix coromandelica","CHC1",0,10,39,0,0
"290","Coturnix coromandelica","CHC2",2,10,39,0,0
"291","Coturnix coromandelica","CHC3",10,10,39,0,1
"292","Coturnix coromandelica","CHC4",6,10,39,0,1
"293","Coturnix coromandelica","CHC5",8,10,39,0,0
"294","Coturnix coromandelica","CHC7",0,10,39,0,0
"295","Coturnix coromandelica","CHS1",0,10,39,0,1
"296","Coturnix coromandelica","CHS2",4,10,39,0,0
"297","Coturnix coromandelica","CHS4",8,10,39,0,1
"298","Coturnix coromandelica","CHS6",4,10,39,0,0
"299","Coturnix coromandelica","MDC1",0,10,39,0,1
"300","Coturnix coromandelica","MDS2",0,10,39,0,1
"301","Coturnix coromandelica","MDS3",0,10,39,0,0
"302","Coturnix coromandelica","MDS4",0,10,39,0,0
"303","Coturnix coromandelica","TTC1",9,10,39,0,1
"304","Coturnix coromandelica","TTC2",7,10,39,0,0
"305","Coturnix coromandelica","TTS1",6,10,39,0,1
"306","Coturnix coromandelica","TTS2",5,10,39,0,0
"307","Cuculus varius","ADS1",4,10,33,0,1
"308","Cuculus varius","ADS3",0,10,33,0,0
"309","Cuculus varius","BD1",1,10,33,0,1
"310","Cuculus varius","BD2",4,10,33,0,0
"311","Cuculus varius","BD6",0,10,33,0,0
"312","Cuculus varius","BDC1",0,10,33,0,1
"313","Cuculus varius","BDC2",9,10,33,0,0
"314","Cuculus varius","BDC3",1,10,33,0,0
"315","Cuculus varius","BDC4",0,10,33,0,0
"316","Cuculus varius","BDC6",0,10,33,0,0
"317","Cuculus varius","BDC8",6,10,33,0,1
"318","Cuculus varius","BN1",0,10,33,0,1
"319","Cuculus varius","BN2",0,10,33,0,0
"320","Cuculus varius","BNC1",0,10,33,0,1
"321","Cuculus varius","BNC2",0,10,33,0,0
"322","Cuculus varius","BNC3",0,10,33,0,1
"323","Cuculus varius","CHC1",0,10,33,0,0
"324","Cuculus varius","CHC2",0,10,33,0,0
"325","Cuculus varius","CHC3",0,10,33,0,1
"326","Cuculus varius","CHC4",0,10,33,0,1
"327","Cuculus varius","CHC5",1,10,33,0,0
"328","Cuculus varius","CHC7",0,10,33,0,0
"329","Cuculus varius","CHS1",0,10,33,0,1
"330","Cuculus varius","CHS2",0,10,33,0,0
"331","Cuculus varius","CHS4",0,10,33,0,1
"332","Cuculus varius","CHS6",0,10,33,0,0
"333","Cuculus varius","MDC1",0,10,33,0,1
"334","Cuculus varius","MDS2",0,10,33,0,1
"335","Cuculus varius","MDS3",0,10,33,0,0
"336","Cuculus varius","MDS4",0,10,33,0,0
"337","Cuculus varius","TTC1",0,10,33,0,1
"338","Cuculus varius","TTC2",3,10,33,0,0
"339","Cuculus varius","TTS1",0,10,33,0,1
"340","Cuculus varius","TTS2",7,10,33,0,0
"341","Dicrurus macrocercus","ADS1",3,10,20,0,1
"342","Dicrurus macrocercus","ADS3",5,10,20,0,0
"343","Dicrurus macrocercus","BD1",3,10,20,0,1
"344","Dicrurus macrocercus","BD2",1,10,20,0,0
"345","Dicrurus macrocercus","BD6",1,10,20,0,0
"346","Dicrurus macrocercus","BDC1",1,10,20,0,1
"347","Dicrurus macrocercus","BDC2",0,10,20,0,0
"348","Dicrurus macrocercus","BDC3",4,10,20,0,0
"349","Dicrurus macrocercus","BDC4",0,10,20,0,0
"350","Dicrurus macrocercus","BDC6",4,10,20,0,0
"351","Dicrurus macrocercus","BDC8",2,10,20,0,1
"352","Dicrurus macrocercus","BN1",2,10,20,0,1
"353","Dicrurus macrocercus","BN2",0,10,20,0,0
"354","Dicrurus macrocercus","BNC1",2,10,20,0,1
"355","Dicrurus macrocercus","BNC2",6,10,20,0,0
"356","Dicrurus macrocercus","BNC3",2,10,20,0,1
"357","Dicrurus macrocercus","CHC1",2,10,20,0,0
"358","Dicrurus macrocercus","CHC2",5,10,20,0,0
"359","Dicrurus macrocercus","CHC3",2,10,20,0,1
"360","Dicrurus macrocercus","CHC4",0,10,20,0,1
"361","Dicrurus macrocercus","CHC5",2,10,20,0,0
"362","Dicrurus macrocercus","CHC7",0,10,20,0,0
"363","Dicrurus macrocercus","CHS1",4,10,20,0,1
"364","Dicrurus macrocercus","CHS2",6,10,20,0,0
"365","Dicrurus macrocercus","CHS4",1,10,20,0,1
"366","Dicrurus macrocercus","CHS6",3,10,20,0,0
"367","Dicrurus macrocercus","MDC1",3,10,20,0,1
"368","Dicrurus macrocercus","MDS2",5,10,20,0,1
"369","Dicrurus macrocercus","MDS3",5,10,20,0,0
"370","Dicrurus macrocercus","MDS4",4,10,20,0,0
"371","Dicrurus macrocercus","TTC1",3,10,20,0,1
"372","Dicrurus macrocercus","TTC2",0,10,20,0,0
"373","Dicrurus macrocercus","TTS1",5,10,20,0,1
"374","Dicrurus macrocercus","TTS2",0,10,20,0,0
"375","Dinopium benghalense","ADS1",0,10,47,0,1
"376","Dinopium benghalense","ADS3",0,10,47,0,0
"377","Dinopium benghalense","BD1",0,10,47,0,1
"378","Dinopium benghalense","BD2",0,10,47,0,0
"379","Dinopium benghalense","BD6",0,10,47,0,0
"380","Dinopium benghalense","BDC1",0,10,47,0,1
"381","Dinopium benghalense","BDC2",0,10,47,0,0
"382","Dinopium benghalense","BDC3",0,10,47,0,0
"383","Dinopium benghalense","BDC4",0,10,47,0,0
"384","Dinopium benghalense","BDC6",0,10,47,0,0
"385","Dinopium benghalense","BDC8",0,10,47,0,1
"386","Dinopium benghalense","BN1",0,10,47,0,1
"387","Dinopium benghalense","BN2",0,10,47,0,0
"388","Dinopium benghalense","BNC1",0,10,47,0,1
"389","Dinopium benghalense","BNC2",0,10,47,0,0
"390","Dinopium benghalense","BNC3",0,10,47,0,1
"391","Dinopium benghalense","CHC1",0,10,47,0,0
"392","Dinopium benghalense","CHC2",0,10,47,0,0
"393","Dinopium benghalense","CHC3",0,10,47,0,1
"394","Dinopium benghalense","CHC4",0,10,47,0,1
"395","Dinopium benghalense","CHC5",0,10,47,0,0
"396","Dinopium benghalense","CHC7",0,10,47,0,0
"397","Dinopium benghalense","CHS1",0,10,47,0,1
"398","Dinopium benghalense","CHS2",0,10,47,0,0
"399","Dinopium benghalense","CHS4",0,10,47,0,1
"400","Dinopium benghalense","CHS6",0,10,47,0,0
"401","Dinopium benghalense","MDC1",0,10,47,0,1
"402","Dinopium benghalense","MDS2",0,10,47,0,1
"403","Dinopium benghalense","MDS3",0,10,47,0,0
"404","Dinopium benghalense","MDS4",0,10,47,0,0
"405","Dinopium benghalense","TTC1",0,10,47,0,1
"406","Dinopium benghalense","TTC2",0,10,47,0,0
"407","Dinopium benghalense","TTS1",3,10,47,0,1
"408","Dinopium benghalense","TTS2",0,10,47,0,0
"409","Eremopterix griseus","ADS1",5,10,17,0,1
"410","Eremopterix griseus","ADS3",0,10,17,0,0
"411","Eremopterix griseus","BD1",3,10,17,0,1
"412","Eremopterix griseus","BD2",0,10,17,0,0
"413","Eremopterix griseus","BD6",0,10,17,0,0
"414","Eremopterix griseus","BDC1",0,10,17,0,1
"415","Eremopterix griseus","BDC2",0,10,17,0,0
"416","Eremopterix griseus","BDC3",0,10,17,0,0
"417","Eremopterix griseus","BDC4",0,10,17,0,0
